time         , active       , control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
1142.2910    , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0215       , -2.7057      , -0.0000      , 0.0004       , 0.4358       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9996      
1142.3090    , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0215       , -2.7057      , -0.0000      , 0.0005       , 0.4358       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9995      
1142.3270    , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0215       , -2.7057      , -0.0000      , 0.0005       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0016      , 0.0000       , 49.9995      
1142.3459    , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0215       , -2.7057      , -0.0000      , 0.0006       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0016      , 0.0000       , 49.9994      
1142.3640    , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0215       , -2.7057      , -0.0000      , 0.0006       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0016      , 0.0000       , 49.9994      
1142.3820    , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7057      , -0.0000      , 0.0006       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9994      
1142.4020    , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7057      , -0.0000      , 0.0006       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9994      
1142.4330    , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7056      , -0.0000      , 0.0006       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9994      
1142.4570    , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0216       , -2.7056      , -0.0000      , 0.0007       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9993      
1142.4840    , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0216       , -2.7056      , -0.0000      , 0.0008       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9992      
