control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
10.000000    , 22.000000    , 0.001503     , 0.021866     , -2.705472    , -0.000000    , 0.001863     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001503    , -0.002187    , -0.000752    , 4.999814     , 0.000000     , -0.001503    , 0.000001     , 49.998138    
10.000000    , 22.000000    , 0.001507     , 0.021907     , -2.705469    , -0.000000    , 0.001908     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001507    , -0.002191    , -0.000753    , 4.999809     , 0.000000     , -0.001507    , 0.000001     , 49.998093    
10.000000    , 22.000000    , 0.001509     , 0.021931     , -2.705468    , -0.000000    , 0.001906     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001509    , -0.002193    , -0.000755    , 4.999809     , 0.000000     , -0.001509    , 0.000001     , 49.998093    
10.000000    , 22.000000    , 0.001511     , 0.021952     , -2.705467    , -0.000000    , 0.001887     , -2.705476    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001511    , -0.002195    , -0.000756    , 4.999811     , 0.000000     , -0.001511    , 0.000001     , 49.998112    
10.000000    , 22.000000    , 0.001514     , 0.021983     , -2.705465    , -0.000000    , 0.001843     , -2.705467    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001514    , -0.002198    , -0.000757    , 4.999816     , 0.000000     , -0.001514    , 0.000001     , 49.998158    
10.000000    , 22.000000    , 0.001516     , 0.021999     , -2.705465    , -0.000000    , 0.001811     , -2.705467    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001516    , -0.002200    , -0.000758    , 4.999819     , 0.000000     , -0.001516    , 0.000001     , 49.998188    
10.000000    , 22.000000    , 0.001517     , 0.022018     , -2.705464    , -0.000000    , 0.001779     , -2.705467    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001517    , -0.002202    , -0.000759    , 4.999822     , 0.000000     , -0.001517    , 0.000001     , 49.998222    
10.000000    , 22.000000    , 0.001520     , 0.022043     , -2.705463    , -0.000000    , 0.001686     , -2.705467    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001520    , -0.002204    , -0.000760    , 4.999832     , 0.000000     , -0.001520    , 0.000001     , 49.998314    
10.000000    , 22.000000    , 0.001521     , 0.022057     , -2.705463    , -0.000000    , 0.001630     , -2.705467    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001521    , -0.002206    , -0.000760    , 4.999837     , 0.000000     , -0.001521    , 0.000001     , 49.998371    
10.000000    , 22.000000    , 0.001522     , 0.022073     , -2.705463    , -0.000000    , 0.001559     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001522    , -0.002207    , -0.000761    , 4.999844     , 0.000000     , -0.001522    , 0.000001     , 49.998440    
10.000000    , 22.000000    , 0.001523     , 0.022090     , -2.705463    , -0.000000    , 0.001485     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001523    , -0.002209    , -0.000762    , 4.999852     , 0.000000     , -0.001523    , 0.000001     , 49.998516    
10.000000    , 22.000000    , 0.001524     , 0.022104     , -2.705463    , -0.010000    , 0.001403     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001524    , 0.000790     , -0.000762    , 4.999860     , 0.000000     , -0.001524    , 0.030001     , 49.998596    
10.000000    , 22.000000    , 0.001525     , 0.022119     , -2.705463    , -0.010000    , 0.001305     , -2.705463    , 0.000000     , 0.000000     , 0.000000     , 0.087092     , 0.000000     , -4500.000000 , -4500.000000 , -4500.000000 , 100.000000   , -0.001525    , 0.000788     , -0.000763    , 4.999870     , 0.000000     , -0.001525    , 0.030001     , 49.998695    
