time         , active       , control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
219.6550     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0004       , 0.4360       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9996      
219.6960     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0003       , 0.4360       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9997      
219.7090     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9997      
219.7290     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9997      
219.7500     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0002       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9998      
219.7830     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0002       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9998      
219.8130     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9997      
219.8140     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9997      
219.8350     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0004       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      , 0.0000       , 49.9996      
219.8680     , 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0219       , -2.7057      , -0.0000      , 0.0006       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -0.1613      , 0.0000       , 0.0000       , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0016      , 0.0000       , 49.9994      
