time         , active       , control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
844.9460     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0002       , 0.4361       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0021      , -0.0007      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9998      
844.9630     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0002       , 0.4361       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0021      , -0.0007      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9998      
844.9800     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0001       , 0.4361       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0021      , -0.0007      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9999      
845.0010     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0001       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0021      , -0.0007      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9999      
845.0340     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0002       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0021      , -0.0007      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9998      
845.0350     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0002       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0021      , -0.0007      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9998      
845.0560     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0003       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9997      
845.0750     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0004       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0015      , 0.0000       , 49.9996      
845.0950     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0006       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9994      
845.1170     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0215       , -2.7054      , -0.0000      , 0.0009       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9991      
845.1370     , 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0216       , -2.7054      , -0.0000      , 0.0010       , -2.7054      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      , 0.0000       , 49.9990      
